sample_id,problem_id,difficulty,final_correct,process_correct,process_status,failure_owner,failure_owner_status,localization_status,assessment_note,unsupported_correct,first_error_step,error_types,run_error,status,attempts
grid_shortest_path-negated-fault,grid_shortest_path,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
coin_change-keyword-only,coin_change,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
coin_change-negated-fault,coin_change,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
lis_length-keyword-only,lis_length,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
lis_length-negated-fault,lis_length,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
two_sum_exists-correct_code_wrong_proof,two_sum_exists,easy,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
two_sum_exists-condition_overgeneralization,two_sum_exists,easy,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
bracket_balance-correct_code_wrong_proof,bracket_balance,easy,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
bracket_balance-condition_overgeneralization,bracket_balance,easy,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
max_subarray-correct_code_wrong_proof,max_subarray,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
max_subarray-condition_overgeneralization,max_subarray,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
grid_shortest_path-correct_code_wrong_proof,grid_shortest_path,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
grid_shortest_path-condition_overgeneralization,grid_shortest_path,medium,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
coin_change-correct_code_wrong_proof,coin_change,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
coin_change-condition_overgeneralization,coin_change,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
lis_length-correct_code_wrong_proof,lis_length,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
lis_length-condition_overgeneralization,lis_length,hard,True,,uncertain,infrastructure,provisional,uncertain,评审或验证证据不完整（缺失、低置信度、覆盖不足或意见待复核），无法确认过程成立。,,,,,,
